2021-04-23 12:57:28,689 data_manager.py[line:1263] INFO {'base_setting': {'speed_grade': 3, 'arrive_range': 2.5, 'keep_point': 5, 'secure_distance': 15, 'row': 50, 'col': 50, 'pool_name': '梁子湖', 'video_url': 'http://123.32132.321321.213', 'info_type': 3}}
2021-04-23 12:57:30,195 data_manager.py[line:1411] INFO {'notice_info_': {'distance': '0 s 0', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': 0, 'mapId': ''}}
2021-04-23 12:57:30,697 data_manager.py[line:1411] INFO {'notice_info_': {'distance': '0 s 0', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': 0, 'mapId': ''}}
2021-04-23 12:57:40,210 data_manager.py[line:1411] INFO {'notice_info_': {'distance': '0 s 0', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': 0, 'mapId': ''}}
2021-04-23 12:57:40,712 data_manager.py[line:1411] INFO {'notice_info_': {'distance': '0 s 0', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': 0, 'mapId': ''}}
2021-04-23 12:57:50,226 data_manager.py[line:1411] INFO {'notice_info_': {'distance': '0 s 0', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': 0, 'mapId': ''}}
2021-04-23 12:57:50,728 data_manager.py[line:1411] INFO {'notice_info_': {'distance': '0 s 0', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': 0, 'mapId': ''}}
2021-04-23 12:58:00,244 data_manager.py[line:1411] INFO {'notice_info_': {'distance': '0 s 0', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': 0, 'mapId': ''}}
2021-04-23 12:58:00,745 data_manager.py[line:1411] INFO {'notice_info_': {'distance': '0 s 0', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': 0, 'mapId': ''}}
2021-04-23 12:58:10,277 data_manager.py[line:1411] INFO {'notice_info_': {'distance': '0 s 0', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': 0, 'mapId': ''}}
2021-04-23 12:58:10,779 data_manager.py[line:1411] INFO {'notice_info_': {'distance': '0 s 0', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': 0, 'mapId': ''}}
2021-04-23 12:58:20,295 data_manager.py[line:1411] INFO {'notice_info_': {'distance': '0 s 0', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': 0, 'mapId': ''}}
2021-04-23 12:58:20,797 data_manager.py[line:1411] INFO {'notice_info_': {'distance': '0 s 0', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': 0, 'mapId': ''}}
2021-04-23 12:58:30,313 data_manager.py[line:1411] INFO {'notice_info_': {'distance': '0 s 0', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': 0, 'mapId': ''}}
2021-04-23 12:58:30,814 data_manager.py[line:1411] INFO {'notice_info_': {'distance': '0 s 0', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': 0, 'mapId': '1354291518018142209'}}
2021-04-23 12:58:40,378 data_manager.py[line:1411] INFO {'notice_info_': {'distance': '0 s 0', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': 0, 'mapId': '1354291518018142209'}}
2021-04-23 12:58:40,881 data_manager.py[line:1411] INFO {'notice_info_': {'distance': '0 s 0', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': 0, 'mapId': '1354291518018142209'}}
2021-04-23 12:58:50,427 data_manager.py[line:1411] INFO {'notice_info_': {'distance': '0 s 0', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': 0, 'mapId': '1354291518018142209'}}
2021-04-23 12:58:50,930 data_manager.py[line:1411] INFO {'notice_info_': {'distance': '0 s 0', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': 0, 'mapId': '1354291518018142209'}}
2021-04-23 12:58:57,656 data_manager.py[line:982] INFO {'点击地点': [[114.524028, 30.505927]]}
2021-04-23 12:58:57,656 data_manager.py[line:1006] INFO {'全部距离': 103.17238084145735}
2021-04-23 12:59:00,478 data_manager.py[line:1411] INFO {'notice_info_': {'distance': '105.02 s 0', 'path_info': '当前目标点:0 目标点总数: 1', 'control_info': '', 'draw_info': 0, 'theta_error': 103.52, 'mapId': '1354291518018142209'}}
2021-04-23 12:59:00,982 data_manager.py[line:1411] INFO {'notice_info_': {'distance': '100.81 s 0', 'path_info': '当前目标点:0 目标点总数: 1', 'control_info': '', 'draw_info': 0, 'theta_error': 95.16, 'mapId': '1354291518018142209'}}
2021-04-23 12:59:10,029 data_manager.py[line:1411] INFO {'notice_info_': {'distance': '0 s 71.7', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': -1.56, 'mapId': '1354291518018142209'}}
2021-04-23 12:59:10,532 data_manager.py[line:1411] INFO {'notice_info_': {'distance': '0 s 71.7', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': -1.56, 'mapId': '1354291518018142209'}}
2021-04-23 12:59:20,082 data_manager.py[line:1411] INFO {'notice_info_': {'distance': '0 s 71.7', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': -1.56, 'mapId': '1354291518018142209'}}
2021-04-23 12:59:20,584 data_manager.py[line:1411] INFO {'notice_info_': {'distance': '0 s 71.7', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': -1.56, 'mapId': '1354291518018142209'}}
2021-04-23 12:59:30,130 data_manager.py[line:1411] INFO {'notice_info_': {'distance': '0 s 71.7', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': -1.56, 'mapId': '1354291518018142209'}}
2021-04-23 12:59:30,631 data_manager.py[line:1411] INFO {'notice_info_': {'distance': '0 s 71.7', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': -1.56, 'mapId': '1354291518018142209'}}
2021-04-23 12:59:40,182 data_manager.py[line:1411] INFO {'notice_info_': {'distance': '0 s 71.7', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': -1.56, 'mapId': '1354291518018142209'}}
2021-04-23 12:59:40,685 data_manager.py[line:1411] INFO {'notice_info_': {'distance': '0 s 71.7', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': -1.56, 'mapId': '1354291518018142209'}}
2021-04-23 12:59:50,233 data_manager.py[line:1411] INFO {'notice_info_': {'distance': '0 s 71.7', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': -1.56, 'mapId': '1354291518018142209'}}
2021-04-23 12:59:50,734 data_manager.py[line:1411] INFO {'notice_info_': {'distance': '0 s 71.7', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'theta_error': -1.56, 'mapId': '1354291518018142209'}}
