2021-07-09 08:37:42,694 data_manager.py[line:1378] INFO {'发送状态数据': {'dump_energy': 99.5, 'current_lng_lat': [114.524096, 30.506853], 'liquid_level': 1.7, 'b_leakage': False, 'direction': None, 'speed': None, 'attitude_angle': None, 'b_online': True, 'b_homing': False, 'charge_energy': 71.6, 'sampling_depth': 2.0, 'ship_code': '3c50f4c3-a9c1-4872-9f18-883af014380c', 'pool_code': None, 'data_flow': 6.1, 'sampling_count': 2.0, 'capicity': 1.0, 'totle_time': 7319, 'runtime': 61, 'totle_distance': 2045.2, 'run_distance': 0, 'mapId': '1397858718729355265', 'ping': 29.0, 'home_lng_lat': [114.524096, 30.506853]}}
2021-07-09 08:38:42,896 data_manager.py[line:1378] INFO {'发送状态数据': {'dump_energy': 99.0, 'current_lng_lat': [114.524096, 30.506853], 'liquid_level': 9.6, 'b_leakage': False, 'direction': None, 'speed': None, 'attitude_angle': None, 'b_online': True, 'b_homing': False, 'charge_energy': 12.9, 'sampling_depth': 1.9, 'ship_code': '3c50f4c3-a9c1-4872-9f18-883af014380c', 'pool_code': None, 'data_flow': 12.1, 'sampling_count': 4.0, 'capicity': 2.0, 'totle_time': 7379, 'runtime': 121, 'totle_distance': 2045.2, 'run_distance': 0, 'mapId': '', 'ping': 27.5, 'home_lng_lat': [114.524096, 30.506853]}}
2021-07-09 08:39:43,065 data_manager.py[line:1378] INFO {'发送状态数据': {'dump_energy': 98.5, 'current_lng_lat': [114.524096, 30.506853], 'liquid_level': 5.6, 'b_leakage': False, 'direction': None, 'speed': None, 'attitude_angle': None, 'b_online': True, 'b_homing': False, 'charge_energy': 63.8, 'sampling_depth': 2.7, 'ship_code': '3c50f4c3-a9c1-4872-9f18-883af014380c', 'pool_code': None, 'data_flow': 18.1, 'sampling_count': 6.0, 'capicity': 3.0, 'totle_time': 7438, 'runtime': 181, 'totle_distance': 2045.2, 'run_distance': 0, 'mapId': '', 'ping': 28.8, 'home_lng_lat': [114.524096, 30.506853]}}
2021-07-09 08:40:44,032 data_manager.py[line:1378] INFO {'发送状态数据': {'dump_energy': 98.0, 'current_lng_lat': [114.524096, 30.506853], 'liquid_level': 8.9, 'b_leakage': False, 'direction': None, 'speed': None, 'attitude_angle': None, 'b_online': True, 'b_homing': False, 'charge_energy': 51.8, 'sampling_depth': 3.6, 'ship_code': '3c50f4c3-a9c1-4872-9f18-883af014380c', 'pool_code': None, 'data_flow': 24.2, 'sampling_count': 8.0, 'capicity': 4.0, 'totle_time': 7499, 'runtime': 242, 'totle_distance': 2045.2, 'run_distance': 0, 'mapId': '', 'ping': 43.5, 'home_lng_lat': [114.524096, 30.506853]}}
2021-07-09 08:41:44,248 data_manager.py[line:1378] INFO {'发送状态数据': {'dump_energy': 97.5, 'current_lng_lat': [114.524096, 30.506853], 'liquid_level': 9.1, 'b_leakage': False, 'direction': None, 'speed': None, 'attitude_angle': None, 'b_online': True, 'b_homing': False, 'charge_energy': 53.6, 'sampling_depth': 4.9, 'ship_code': '3c50f4c3-a9c1-4872-9f18-883af014380c', 'pool_code': None, 'data_flow': 30.3, 'sampling_count': 10.0, 'capicity': 5.0, 'totle_time': 7559, 'runtime': 302, 'totle_distance': 2045.2, 'run_distance': 0, 'mapId': '', 'ping': 19.8, 'home_lng_lat': [114.524096, 30.506853]}}
2021-07-09 08:42:44,854 data_manager.py[line:1378] INFO {'发送状态数据': {'dump_energy': 97.0, 'current_lng_lat': [114.524096, 30.506853], 'liquid_level': 0.5, 'b_leakage': False, 'direction': None, 'speed': None, 'attitude_angle': None, 'b_online': True, 'b_homing': False, 'charge_energy': 27.2, 'sampling_depth': 0.6, 'ship_code': '3c50f4c3-a9c1-4872-9f18-883af014380c', 'pool_code': None, 'data_flow': 36.3, 'sampling_count': 12.0, 'capicity': 6.1, 'totle_time': 7619, 'runtime': 363, 'totle_distance': 2045.2, 'run_distance': 0, 'mapId': '1397858718729355265', 'ping': 19.0, 'home_lng_lat': [114.524096, 30.506853]}}
2021-07-09 08:43:45,387 data_manager.py[line:1378] INFO {'发送状态数据': {'dump_energy': 96.5, 'current_lng_lat': [114.524096, 30.506853], 'liquid_level': 4.0, 'b_leakage': False, 'direction': None, 'speed': None, 'attitude_angle': None, 'b_online': True, 'b_homing': False, 'charge_energy': 41.5, 'sampling_depth': 3.5, 'ship_code': '3c50f4c3-a9c1-4872-9f18-883af014380c', 'pool_code': None, 'data_flow': 42.4, 'sampling_count': 14.0, 'capicity': 7.1, 'totle_time': 7678, 'runtime': 423, 'totle_distance': 2045.2, 'run_distance': 0, 'mapId': '1397858718729355265', 'ping': 19.2, 'home_lng_lat': [114.524096, 30.506853]}}
2021-07-09 08:44:46,097 data_manager.py[line:1378] INFO {'发送状态数据': {'dump_energy': 96.0, 'current_lng_lat': [114.524096, 30.506853], 'liquid_level': 1.2, 'b_leakage': False, 'direction': None, 'speed': None, 'attitude_angle': None, 'b_online': True, 'b_homing': False, 'charge_energy': 44.0, 'sampling_depth': 0.3, 'ship_code': '3c50f4c3-a9c1-4872-9f18-883af014380c', 'pool_code': None, 'data_flow': 48.4, 'sampling_count': 16.0, 'capicity': 8.1, 'totle_time': 7736, 'runtime': 484, 'totle_distance': 2045.2, 'run_distance': 0, 'mapId': '1397858718729355265', 'ping': 21.2, 'home_lng_lat': [114.524096, 30.506853]}}
2021-07-09 08:45:46,669 data_manager.py[line:1378] INFO {'发送状态数据': {'dump_energy': 95.5, 'current_lng_lat': [114.524096, 30.506853], 'liquid_level': 4.9, 'b_leakage': False, 'direction': None, 'speed': None, 'attitude_angle': None, 'b_online': True, 'b_homing': False, 'charge_energy': 50.7, 'sampling_depth': 2.3, 'ship_code': '3c50f4c3-a9c1-4872-9f18-883af014380c', 'pool_code': None, 'data_flow': 54.5, 'sampling_count': 18.0, 'capicity': 9.1, 'totle_time': 7796, 'runtime': 545, 'totle_distance': 2045.2, 'run_distance': 0, 'mapId': '1397858718729355265', 'ping': 23.2, 'home_lng_lat': [114.524096, 30.506853]}}
2021-07-09 08:46:47,168 data_manager.py[line:1378] INFO {'发送状态数据': {'dump_energy': 95.0, 'current_lng_lat': [114.524096, 30.506853], 'liquid_level': 3.4, 'b_leakage': False, 'direction': None, 'speed': None, 'attitude_angle': None, 'b_online': True, 'b_homing': False, 'charge_energy': 13.9, 'sampling_depth': 0.7, 'ship_code': '3c50f4c3-a9c1-4872-9f18-883af014380c', 'pool_code': None, 'data_flow': 60.5, 'sampling_count': 20.0, 'capicity': 10.1, 'totle_time': 7856, 'runtime': 605, 'totle_distance': 2045.2, 'run_distance': 0, 'mapId': '1397858718729355265', 'ping': 23.2, 'home_lng_lat': [114.524096, 30.506853]}}
2021-07-09 08:47:48,170 data_manager.py[line:1378] INFO {'发送状态数据': {'dump_energy': 94.4, 'current_lng_lat': [114.524096, 30.506853], 'liquid_level': 10.0, 'b_leakage': False, 'direction': None, 'speed': None, 'attitude_angle': None, 'b_online': True, 'b_homing': False, 'charge_energy': 19.3, 'sampling_depth': 4.1, 'ship_code': '3c50f4c3-a9c1-4872-9f18-883af014380c', 'pool_code': None, 'data_flow': 66.6, 'sampling_count': 22.0, 'capicity': 11.1, 'totle_time': 7916, 'runtime': 666, 'totle_distance': 2045.2, 'run_distance': 0, 'mapId': '1397858718729355265', 'ping': 25.8, 'home_lng_lat': [114.524096, 30.506853]}}
2021-07-09 08:48:49,102 data_manager.py[line:1378] INFO {'发送状态数据': {'dump_energy': 93.9, 'current_lng_lat': [114.524096, 30.506853], 'liquid_level': 4.7, 'b_leakage': False, 'direction': None, 'speed': None, 'attitude_angle': None, 'b_online': True, 'b_homing': False, 'charge_energy': 1.0, 'sampling_depth': 3.6, 'ship_code': '3c50f4c3-a9c1-4872-9f18-883af014380c', 'pool_code': None, 'data_flow': 72.7, 'sampling_count': 24.0, 'capicity': 12.1, 'totle_time': 7977, 'runtime': 727, 'totle_distance': 2045.2, 'run_distance': 0, 'mapId': '1397858718729355265', 'ping': 20.0, 'home_lng_lat': [114.524096, 30.506853]}}
2021-07-09 08:49:49,529 data_manager.py[line:1378] INFO {'发送状态数据': {'dump_energy': 93.4, 'current_lng_lat': [114.524096, 30.506853], 'liquid_level': 5.7, 'b_leakage': False, 'direction': None, 'speed': None, 'attitude_angle': None, 'b_online': True, 'b_homing': False, 'charge_energy': 91.7, 'sampling_depth': 1.1, 'ship_code': '3c50f4c3-a9c1-4872-9f18-883af014380c', 'pool_code': None, 'data_flow': 78.8, 'sampling_count': 26.0, 'capicity': 13.1, 'totle_time': 8038, 'runtime': 788, 'totle_distance': 2045.2, 'run_distance': 0, 'mapId': '1397858718729355265', 'ping': 19.0, 'home_lng_lat': [114.524096, 30.506853]}}
2021-07-09 08:50:50,093 data_manager.py[line:1378] INFO {'发送状态数据': {'dump_energy': 92.9, 'current_lng_lat': [114.524096, 30.506853], 'liquid_level': 8.4, 'b_leakage': False, 'direction': None, 'speed': None, 'attitude_angle': None, 'b_online': True, 'b_homing': False, 'charge_energy': 42.6, 'sampling_depth': 4.3, 'ship_code': '3c50f4c3-a9c1-4872-9f18-883af014380c', 'pool_code': None, 'data_flow': 84.8, 'sampling_count': 28.0, 'capicity': 14.1, 'totle_time': 8098, 'runtime': 848, 'totle_distance': 2045.2, 'run_distance': 0, 'mapId': '1397858718729355265', 'ping': 19.0, 'home_lng_lat': [114.524096, 30.506853]}}
