2021-07-28 13:52:06,609 data_manager.py[line:1378] INFO {'发送状态数据': {'dump_energy': 99.5, 'current_lng_lat': [114.524096, 30.506853], 'liquid_level': 9.7, 'b_leakage': False, 'direction': None, 'speed': None, 'attitude_angle': None, 'b_online': True, 'b_homing': False, 'charge_energy': 62.9, 'sampling_depth': 0.2, 'ship_code': '3c50f4c3-a9c1-4872-9f18-883af014380c', 'pool_code': None, 'data_flow': 6.1, 'sampling_count': 2.0, 'capicity': 1.0, 'totle_time': 8318, 'runtime': 60, 'totle_distance': 2045.2, 'run_distance': 0, 'mapId': '', 'ping': 23.2, 'home_lng_lat': [114.524096, 30.506853]}}
2021-07-28 13:53:07,444 data_manager.py[line:1378] INFO {'发送状态数据': {'dump_energy': 99.0, 'current_lng_lat': [114.523553, 30.506062], 'liquid_level': 5.1, 'b_leakage': False, 'direction': 90, 'speed': None, 'attitude_angle': None, 'b_online': True, 'b_homing': False, 'charge_energy': 6.1, 'sampling_depth': 4.5, 'ship_code': '3c50f4c3-a9c1-4872-9f18-883af014380c', 'pool_code': None, 'data_flow': 12.1, 'sampling_count': 4.0, 'capicity': 2.0, 'totle_time': 8377, 'runtime': 121, 'totle_distance': 2167.1, 'run_distance': 121.9, 'mapId': '1397858718729355265', 'ping': 22.5, 'home_lng_lat': [114.524096, 30.506853]}}
2021-07-28 13:54:08,067 data_manager.py[line:1378] INFO {'发送状态数据': {'dump_energy': 98.5, 'current_lng_lat': [114.523421, 30.506033], 'liquid_level': 2.3, 'b_leakage': False, 'direction': 263, 'speed': None, 'attitude_angle': None, 'b_online': True, 'b_homing': False, 'charge_energy': 35.3, 'sampling_depth': 3.5, 'ship_code': '3c50f4c3-a9c1-4872-9f18-883af014380c', 'pool_code': None, 'data_flow': 18.2, 'sampling_count': 6.0, 'capicity': 3.0, 'totle_time': 8438, 'runtime': 182, 'totle_distance': 2189.6, 'run_distance': 145.6, 'mapId': '1397858718729355265', 'ping': 24.0, 'home_lng_lat': [114.524096, 30.506853]}}
2021-07-28 13:55:08,528 data_manager.py[line:1378] INFO {'发送状态数据': {'dump_energy': 98.0, 'current_lng_lat': [114.52381, 30.505961], 'liquid_level': 7.2, 'b_leakage': False, 'direction': 254, 'speed': None, 'attitude_angle': None, 'b_online': True, 'b_homing': False, 'charge_energy': 21.3, 'sampling_depth': 0.4, 'ship_code': '3c50f4c3-a9c1-4872-9f18-883af014380c', 'pool_code': None, 'data_flow': 24.3, 'sampling_count': 8.0, 'capicity': 4.0, 'totle_time': 8496, 'runtime': 242, 'totle_distance': 2221.1, 'run_distance': 177.1, 'mapId': '1397858718729355265', 'ping': 20.0, 'home_lng_lat': [114.524096, 30.506853]}}
2021-07-28 13:56:09,287 data_manager.py[line:1378] INFO {'发送状态数据': {'dump_energy': 97.5, 'current_lng_lat': [114.52381, 30.505961], 'liquid_level': 8.4, 'b_leakage': False, 'direction': 254, 'speed': None, 'attitude_angle': None, 'b_online': True, 'b_homing': False, 'charge_energy': 55.5, 'sampling_depth': 0.6, 'ship_code': '3c50f4c3-a9c1-4872-9f18-883af014380c', 'pool_code': None, 'data_flow': 30.3, 'sampling_count': 10.0, 'capicity': 5.1, 'totle_time': 8557, 'runtime': 303, 'totle_distance': 2221.1, 'run_distance': 177.1, 'mapId': '1397858718729355265', 'ping': 20.0, 'home_lng_lat': [114.524096, 30.506853]}}
2021-07-28 13:57:09,592 data_manager.py[line:1378] INFO {'发送状态数据': {'dump_energy': 97.0, 'current_lng_lat': [114.52381, 30.505961], 'liquid_level': 6.8, 'b_leakage': False, 'direction': 254, 'speed': None, 'attitude_angle': None, 'b_online': True, 'b_homing': False, 'charge_energy': 19.5, 'sampling_depth': 2.4, 'ship_code': '3c50f4c3-a9c1-4872-9f18-883af014380c', 'pool_code': None, 'data_flow': 36.4, 'sampling_count': 12.0, 'capicity': 6.1, 'totle_time': 8617, 'runtime': 363, 'totle_distance': 2221.1, 'run_distance': 177.1, 'mapId': '1397858718729355265', 'ping': 20.0, 'home_lng_lat': [114.524096, 30.506853]}}
2021-07-28 13:58:10,109 data_manager.py[line:1378] INFO {'发送状态数据': {'dump_energy': 96.5, 'current_lng_lat': [114.52381, 30.505961], 'liquid_level': 1.2, 'b_leakage': False, 'direction': 254, 'speed': None, 'attitude_angle': None, 'b_online': True, 'b_homing': False, 'charge_energy': 43.8, 'sampling_depth': 0.7, 'ship_code': '3c50f4c3-a9c1-4872-9f18-883af014380c', 'pool_code': None, 'data_flow': 42.4, 'sampling_count': 14.0, 'capicity': 7.1, 'totle_time': 8676, 'runtime': 424, 'totle_distance': 2221.1, 'run_distance': 177.1, 'mapId': '1397858718729355265', 'ping': 21.5, 'home_lng_lat': [114.524096, 30.506853]}}
2021-07-28 13:59:10,143 data_manager.py[line:1378] INFO {'发送状态数据': {'dump_energy': 96.0, 'current_lng_lat': [114.52381, 30.505961], 'liquid_level': 2.5, 'b_leakage': False, 'direction': 254, 'speed': None, 'attitude_angle': None, 'b_online': True, 'b_homing': False, 'charge_energy': 57.2, 'sampling_depth': 0.5, 'ship_code': '3c50f4c3-a9c1-4872-9f18-883af014380c', 'pool_code': None, 'data_flow': 48.4, 'sampling_count': 16.0, 'capicity': 8.1, 'totle_time': 8735, 'runtime': 484, 'totle_distance': 2221.1, 'run_distance': 177.1, 'mapId': '1397858718729355265', 'ping': 20.8, 'home_lng_lat': [114.524096, 30.506853]}}
2021-07-28 14:00:10,587 data_manager.py[line:1378] INFO {'发送状态数据': {'dump_energy': 95.5, 'current_lng_lat': [114.52381, 30.505961], 'liquid_level': 5.7, 'b_leakage': False, 'direction': 254, 'speed': None, 'attitude_angle': None, 'b_online': True, 'b_homing': False, 'charge_energy': 43.5, 'sampling_depth': 1.4, 'ship_code': '3c50f4c3-a9c1-4872-9f18-883af014380c', 'pool_code': None, 'data_flow': 54.5, 'sampling_count': 18.0, 'capicity': 9.1, 'totle_time': 8794, 'runtime': 544, 'totle_distance': 2221.1, 'run_distance': 177.1, 'mapId': '1397858718729355265', 'ping': 25.5, 'home_lng_lat': [114.524096, 30.506853]}}
2021-07-28 14:01:11,518 data_manager.py[line:1378] INFO {'发送状态数据': {'dump_energy': 95.0, 'current_lng_lat': [114.52381, 30.505961], 'liquid_level': 7.1, 'b_leakage': False, 'direction': 254, 'speed': None, 'attitude_angle': None, 'b_online': True, 'b_homing': False, 'charge_energy': 23.4, 'sampling_depth': 0.8, 'ship_code': '3c50f4c3-a9c1-4872-9f18-883af014380c', 'pool_code': None, 'data_flow': 60.5, 'sampling_count': 20.0, 'capicity': 10.1, 'totle_time': 8853, 'runtime': 605, 'totle_distance': 2221.1, 'run_distance': 177.1, 'mapId': '1397858718729355265', 'ping': 22.8, 'home_lng_lat': [114.524096, 30.506853]}}
2021-07-28 14:02:12,403 data_manager.py[line:1378] INFO {'发送状态数据': {'dump_energy': 94.4, 'current_lng_lat': [114.52381, 30.505961], 'liquid_level': 9.1, 'b_leakage': False, 'direction': 254, 'speed': None, 'attitude_angle': None, 'b_online': True, 'b_homing': False, 'charge_energy': 30.0, 'sampling_depth': 1.4, 'ship_code': '3c50f4c3-a9c1-4872-9f18-883af014380c', 'pool_code': None, 'data_flow': 66.6, 'sampling_count': 22.0, 'capicity': 11.1, 'totle_time': 8914, 'runtime': 666, 'totle_distance': 2221.1, 'run_distance': 177.1, 'mapId': '1397858718729355265', 'ping': 26.2, 'home_lng_lat': [114.524096, 30.506853]}}
